Date,Daily_Emotion_Score,Total_Hype_Volume,Post_Count,SP500_Close,SP500_Volume
2020-09-29,0.9127,4,1,3335.469970703125,3661590000
2021-01-28,0.023345112781954887,1149849,1197,3787.3798828125,6992770000
2021-01-29,-0.008826303045749969,6410329,15694,3714.239990234375,6643370000
2021-02-01,0.16912816742081446,3739587,884,3773.860107421875,5436230000
2021-02-02,0.10003994673768309,1180580,1502,3826.31005859375,5514090000
2021-02-03,0.09011797200151343,2598921,2643,3830.169921875,4864870000
2021-02-04,0.14500490724117296,1596620,1671,3871.739990234375,4879240000
2021-02-05,0.10634953810623557,520268,2598,3886.830078125,4879470000
2021-02-08,0.23425365853658536,915611,287,3915.590087890625,4648360000
2021-02-09,0.333227027027027,622279,148,3911.22998046875,4568320000
2021-02-10,0.31381801801801806,748261,222,3909.8798828125,4837070000
2021-02-11,0.48795147928994087,607271,169,3916.3798828125,4590960000
2021-02-12,0.3717966480446927,328666,179,3934.830078125,4135060000
2021-02-16,0.47549555555555556,440192,90,3932.590087890625,5058990000
2021-02-17,0.3372076023391813,459476,171,3931.330078125,4730650000
2021-02-18,0.2585673469387755,718558,245,3913.969970703125,4793650000
2021-02-19,0.20082536023054756,1852723,347,3906.7099609375,4845320000
2021-02-22,0.2164244604316547,549580,139,3876.5,5917100000
2021-02-23,0.21336156716417912,433130,268,3881.3701171875,6296610000
2021-02-24,0.21956875,524486,240,3925.429931640625,6012790000
2021-02-25,0.1592183486238532,1768786,545,3829.340087890625,6547470000
2021-02-26,0.2061879646017699,1750456,565,3811.14990234375,6526070000
2021-03-01,0.38563458646616544,404930,133,3901.820068359375,5114820000
2021-03-02,0.24841476323119777,626312,359,3870.2900390625,5536010000
2021-03-03,0.24976570458404074,681107,589,3819.719970703125,6173660000
2021-03-04,0.32323473684210524,545827,475,3768.469970703125,7195400000
2021-03-05,0.2321992974238876,591337,427,3841.93994140625,6851070000
2021-03-08,0.3254031746031746,480100,126,3821.35009765625,5871710000
2021-03-09,0.24634576271186442,1098635,354,3875.43994140625,5513560000
2021-03-10,0.25396346483704973,1221089,583,3898.81005859375,5847380000
2021-03-11,0.21375722021660648,1083129,554,3939.340087890625,5312880000
2021-03-12,0.28668782051282055,817901,312,3943.340087890625,4476280000
2021-03-15,0.48600212765957446,528690,94,3968.93994140625,4900100000
2021-03-16,0.27030423728813563,868940,236,3962.7099609375,4613080000
2021-03-17,0.2902012765957447,570442,235,3974.1201171875,4561660000
2021-03-18,0.3177795348837209,565951,215,3915.4599609375,5118590000
2021-03-19,0.18166100917431194,326153,218,3913.10009765625,7757420000
2021-03-22,0.4374033333333333,253154,60,3940.590087890625,4316260000
2021-03-23,0.3485247787610619,254188,113,3910.52001953125,4669010000
2021-03-24,0.32192727272727273,546454,143,3889.139892578125,4783020000
2021-03-25,0.16374237918215614,566033,269,3909.52001953125,4948340000
2021-03-26,0.15779513513513513,512324,185,3974.5400390625,5483160000
2021-03-29,0.44883636363636364,291814,66,3971.090087890625,4628180000
2021-03-30,0.2673712871287129,246561,101,3958.550048828125,4121510000
2021-03-31,0.2696238095238095,153598,84,3972.889892578125,4578050000
2021-04-01,0.33898260869565217,225286,138,4019.8701171875,4162130000
2021-04-05,0.5619421052631579,161788,38,4077.909912109375,4005030000
2021-04-06,0.38985384615384616,146177,78,4073.93994140625,4081270000
2021-04-07,0.34650454545454545,149824,66,4079.949951171875,4120810000
2021-04-08,0.36951408450704226,178710,71,4097.169921875,3907100000
2021-04-09,0.3092355140186916,189109,107,4128.7998046875,3640390000
2021-04-12,0.3471234042553192,160082,47,4127.990234375,3588900000
2021-04-13,0.22518857142857143,240113,105,4141.58984375,3734720000
2021-04-14,0.32780245901639343,186043,122,4124.66015625,3985350000
2021-04-15,0.36044819277108436,219680,83,4170.419921875,4033420000
2021-04-16,0.34013625,100561,80,4185.47021484375,4163820000
2021-04-19,0.47732608695652173,33753,23,4163.259765625,3810290000
2021-04-20,0.2975223880597015,97194,67,4134.93994140625,4342650000
2021-04-21,0.2875217391304348,37428,69,4173.419921875,3887250000
2021-04-22,0.28539655172413797,94225,58,4134.97998046875,4245140000
2021-04-23,0.47303260869565217,89220,46,4180.169921875,3569880000
2021-04-26,0.393044,84223,25,4187.6201171875,3748320000
2021-04-27,0.3634660714285714,226911,112,4186.72021484375,3710700000
2021-04-28,0.37782738095238094,136473,84,4183.18017578125,3787360000
2021-04-29,0.35960107526881724,131251,93,4211.47021484375,4298680000
2021-04-30,0.3880625,75775,48,4181.169921875,4300880000
2021-05-05,0.3587095238095238,35356,42,4167.58984375,4230920000
2021-05-06,0.26440621118012425,187004,161,4201.6201171875,4511000000
2021-05-07,0.24807666666666664,243852,180,4232.60009765625,4016080000
2021-05-10,0.2791803278688525,126761,61,4188.43017578125,4560700000
2021-05-11,0.2823193277310925,129571,119,4152.10009765625,4870710000
2021-05-12,0.254675,167454,92,4063.0400390625,4733070000
2021-05-13,0.21681904761904763,88182,105,4112.5,4779540000
2021-05-14,0.26717894736842107,177431,114,4173.85009765625,4008880000
2021-05-17,0.2527214285714286,103705,28,4163.2900390625,4125050000
2021-05-18,0.3821506849315069,119240,73,4127.830078125,4398150000
2021-05-19,0.2944204081632653,69971,49,4115.68017578125,4247450000
2021-05-20,0.297672602739726,107342,73,4159.1201171875,3978880000
2021-05-21,0.3221831168831169,50608,77,4155.85986328125,3995250000
2021-05-24,0.3254923076923077,26037,39,4197.0498046875,3684800000
2021-05-25,0.32190898876404495,56131,89,4188.1298828125,4182250000
2021-05-26,0.21406813186813187,140573,91,4195.990234375,4420890000
2021-05-27,0.3317038461538461,200196,130,4200.8798828125,6406310000
2021-05-28,0.30667017543859654,168463,171,4204.10986328125,4649250000
2021-06-01,0.3814676470588236,52005,34,4202.0400390625,5074670000
2021-06-10,0.3555809523809524,126608,210,4239.18017578125,4408210000
2021-06-11,0.3395239782016349,133673,367,4247.43994140625,3815010000
2021-06-15,0.46332065217391305,70452,92,4246.58984375,4048940000
2021-06-16,0.41162628865979384,92627,194,4223.7001953125,4538350000
2021-06-17,0.3650112426035503,85545,169,4221.85986328125,5312680000
2021-06-18,0.4444796511627907,99713,172,4166.4501953125,6817010000
2021-06-21,0.31064,67776,60,4224.7900390625,4128950000
2021-06-22,0.45996466666666663,110482,150,4246.43994140625,3828390000
2021-06-23,0.39239050279329607,118158,179,4241.83984375,3730350000
2021-06-24,0.43378848484848487,48709,165,4266.490234375,3816660000
2021-06-25,0.4483186567164179,94296,134,4280.7001953125,7341450000
2021-06-28,0.76718,2144,5,4290.60986328125,4147890000
2021-06-29,0.3807887892376681,161843,223,4291.7998046875,3707150000
2021-06-30,0.35161000000000003,22418,50,4297.5,4266040000
2021-07-01,0.328612,65953,150,4319.93994140625,3788230000
2021-07-02,0.43168773584905656,80489,106,4352.33984375,3225840000
2021-07-06,0.3018954545454546,47593,88,4343.5400390625,4309570000
2021-07-07,0.4450612903225807,8509,31,4358.1298828125,4037380000
2021-07-08,0.2815423913043478,87240,92,4320.81982421875,4347500000
2021-07-09,0.2599974025974026,80800,77,4369.5498046875,3531120000
2021-07-12,0.37264117647058825,33384,34,4384.6298828125,3384460000
2021-07-13,0.3263328947368421,43311,76,4369.2099609375,3695430000
2021-07-14,0.3941173333333334,84922,75,4374.2998046875,4006370000
2021-07-15,0.154585,94803,120,4360.02978515625,3905230000
2021-07-16,0.3659590361445783,89877,83,4327.16015625,3985700000
2021-07-19,0.3980307692307692,68128,39,4258.490234375,5157660000
2021-07-20,0.2435809523809524,24339,63,4323.06005859375,4438270000
2021-08-02,0.22397999999999998,66378,25,4387.16015625,3724090000
2021-08-03,0.4873309090909091,15056,55,4423.14990234375,3965190000
2021-08-04,0.305869,43276,100,4402.66015625,4260760000
2021-08-05,0.35862315789473687,71014,95,4429.10009765625,3769410000
2021-08-06,0.3895380952380953,41407,84,4436.52001953125,3451870000
2021-08-09,0.27626875,70667,64,4432.35009765625,3449280000
2021-08-10,0.22492592592592595,29084,54,4436.75,3886610000
2021-08-11,0.42627582417582416,55869,91,4442.41015625,3532560000
2021-08-12,0.37700933333333336,48554,75,4460.830078125,3375310000
2021-08-13,0.29526562500000003,49510,64,4468.0,3016470000
